,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
45,['1645392972383506432'],1645392972383506432,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
46,['1645392467032784896'],1645392467032784896,jerrynyc54 ossechi tuckercarlson burgerking an ahole says wut,,
47,['1645392428155674624'],1645392428155674624,bitecoinbk burgerking burgerkinguk very good project ! i like this . that's why i followed this project. waiting for your message,,
48,['1645391559943397377'],1645391559943397377,burgerking i orderd burger at 1.51pm but still order is not delivered. when i contacted customer care through chat option got local store contact number which is invalid? whom to contact for help now? is that how you guys cheat customers and earn money? worst customer service. ,,
49,['1645391403755732993'],1645391403755732993,"rt bitecoinbsc: watch our video burgerking burgerkinguk , giving back to others with burgerking ! 🍔

bitecoin bsc made decentralization…",,
50,['1645390276234493954'],1645390276234493954,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
51,['1645389123803283458'],1645389123803283458,"cryptoemdarks 🍔 bitecoinbsc is a token that emerged from burger king's last tweet ""bitecoin"". strong active community for twitter raids dev already donated burgers to homeless people let's join a good cause!! tg: burgerkinguk burgerking burgerkingarg ",,
52,['1645386671813283840'],1645386671813283840,derekmorgan2020 newsweek mcdonalds burgerking convert it to mcbucks.,,
53,['1645386554532036608'],1645386554532036608,"burgerkinguk 🍔 bitecoinbsc is a token that emerged from burger king's last tweet ""bitecoin"". strong active community for twitter raids dev already donated burgers to homeless people let's join a good cause!! 
tg: burgerkinguk burgerking burgerkingarg ",,
54,['1645386192932700161'],1645386192932700161,"rt bitecoinbsc: watch our video burgerking burgerkinguk , giving back to others with burgerking ! 🍔

bitecoin bsc made decentralization…",,
55,['1645383875173007361'],1645383875173007361,"η τιμή του dogecoin αυξάνεται κατά 5% μετά από αναφορά του burger king για το μυστηριώδες bitecoin.
 
dogecoin burgerking bitecoin support crypto cryptonews kryptonomismata",,
56,['1645382473725927424'],1645382473725927424,burgerking over everything 🥺❤️ ,,
57,['1645382365856841728'],1645382365856841728,"this april fools joke is now a real item on the menu 😂



burgerking",,
58,['1645381563679473668'],1645381563679473668,taiwan betrayal gmfood risk kingcharles wef agenda2030 kingcharlescoronation ukgovernment precisionbreedingact farming food cattle pigs sheep chickens loveisland burgerking macdonalds news children baby ,,
59,['1645380691838869504'],1645380691838869504,tajuanwastaken deerblitz royalfamily rishisunak 10downingstreet trussliz borisjohnson theresa_may burgerking nhsuk amongusgame fortnitegame minecraft best childhood game and still awesome today... ,,
60,['1645380320336789504'],1645380320336789504,burgerkingza kahle kahle…i can get 3 burgers for r60. listen its r60 for 2 burgers nd a drink plus that promo ye till slip that no one talks about🔥🔥🔥 wait until i get to joburg😭😭 burgerking you are rapidly becoming my favourate✌️😊,,
