,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
70,['1645530647115730948'],1645530647115730948,"jennifer_arturo mr_3van_shoe foxnews most proper people don’t need ‘patriarchy’ or female imitators to respect women for what nature gave them.

i already don’t drink alcohol so the bud light thing doesn’t affect me. and i won’t be buying any .nike products now either.

fucknike

",,
71,['1645530578576392200'],1645530578576392200,nike dotswoosh really? ,,
72,['1645530497257275392'],1645530497257275392,gaspyesimaera7 nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
73,['1645530486306111488'],1645530486306111488,rt giobruno1600: due to a lack of real women budlight &amp; nike hired a male actor to portray one. ,,
74,['1645530419167723520'],1645530419167723520,thejbrown1981 rayjpolitics1 nike not me or anyone in my family 👎😂😂😂😂,,
75,['1645530375836536839'],1645530375836536839,rt thallessouzax: nike ,False,['ID']
76,['1645530266234961923'],1645530266234961923,"pittsburgh should have it’s own tv show, video game and shoe deal by now. rockstargames nike tylerperry wtf sup? 😮‍💨",,
77,['1645530249218621440'],1645530249218621440,charliecromer3 juliahb1 nike it a man mocking women,,
78,['1645530218122162179'],1645530218122162179,streetsthv nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
79,['1645530095271153666'],1645530095271153666,breadd3taeko0k im_lesserafim nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
80,['1645530082633457666'],1645530082633457666,"nike 
🖕🖕🖕 ",,
81,['1645530019618254848'],1645530019618254848,"she would be my 1 overall pick at the nike summit.  

so long and athletic it is almost unfair!  

rebounds everything!  

plays with great swagger and confidence! ",,
82,['1645530017080942592'],1645530017080942592,"where are the feminists who are outraged that men identifying as women are getting advertising jobs instead of biological women? isn’t that what you’ve been fighting for? 

budlight nikehateswomen nike women",,
