,edit_history_tweet_ids,id,text,lang
93,['1651999887326867457'],1651999887326867457,rt jamaalaldin_tv:  rude president forced trouble maker 227's youtube chili' bts! kpop!🎶 hoops227tv …,en
94,['1651999886974365699'],1651999886974365699,craignoicecube nikestore nike thank you man appreciate it! 🙌🏼🙌🏼,en
99,['1651999858226765824'],1651999858226765824,rt jamaalaldin_tv:  youtubers react to i’m geekin &amp; i expose the 227's youtube chili' bts! kpop!🎶 hoops227tv http…,en
0,['1651999786105700352'],1651999786105700352, 227's youtube chili' bts! kpop!🎶 hoops227tv    nike'spicy'tunes spicy' nba mix! (방탄소년단) try not to laugh challenge!  ,en
1,['1651999770892959745'],1651999770892959745,espn boardroom nike what is going on with kobebryant why are you guys taking forever. man every player where is kobe’s?  make it happen,en
2,['1651999770884587520'],1651999770884587520, rude president forced trouble maker 227's youtube chili' bts! kpop!🎶 hoops227tv    nike'spicy'tunes spicy' nba mix! fan girl to be…  ,en
3,['1651999763552960512'],1651999763552960512, 227's youtube chili' bts! kpop!🎶 hoops227tv    nike'spicy'tunes spicy' nba mix! jungkook never stop making you laugh / suna  ,en
4,['1651999756401668096'],1651999756401668096, 227's youtube chili' bts! kpop!🎶 hoops227tv    nike'spicy'tunes spicy' nba mix! - the thieves 💰🤑  ,en
5,['1651999747845259266'],1651999747845259266, engsub【227's youtube chili' bts! kpop!🎶 hoops227tv    nike'spicy'tunes spicy' nba…  ,en
6,['1651999747589255232'],1651999747589255232,"rt xxcvchikxx: kotd

air jordan 1- ""hand crafted""🤎💜🧡💚

good morning snkr family! figure i take some nice pics before this rainy weekend 🌞…",en
8,['1651999739104366592'],1651999739104366592, youtubers react to i’m geekin &amp; i expose the 227's youtube chili' bts! kpop!🎶 hoops227tv    nike'spicy'tunes spicy' nba mix!! ft…  ,en
9,['1651999675111686144'],1651999675111686144,footworkoffical nike nikestore copping fr sho.! a must💯,en
10,['1651999667557638144'],1651999667557638144,rt cards_rock: michael jordon of the chicago bulls. playing around with shapes and shading. definitely will be doing more in this style.…,en
11,['1651999633713901586'],1651999633713901586,"rt nitabonitax: starfish 1 
kotd snkrsliveheatingup photography yoursneakersaredope nike jordan snkrs photooftheday …",en
12,['1651999538306068499'],1651999538306068499,rt stealth783: kotd penny teamtmcii yoursneakersaredope airups wdywt tgif pennyhardaway nike goat kixnkarbs atmoscollectorsclu…,en
13,['1651999527262466069'],1651999527262466069,rt mannysevendx: happy friday fam! ✌🏽 tome to bust out these babies again! jordan11 spring summer  kotd jordan nike snkrsliveheatin…,en
14,['1651999310077210645'],1651999310077210645,"kdtrey5 nike u ‘re legend as fuck, man🐐",en
15,['1651999284844453888'],1651999284844453888,rt jamaalaldin_tv:  rapper reacts to taeyang - ‘shoong! (feat. lisa of 227's youtube chili' blackpink! hoops227tv…,en
17,['1651999187658059815'],1651999187658059815,the tag on my new nike reversible shorts says wash inside out and i honestly have no idea what to do.,en
18,['1651999148625866783'],1651999148625866783,"kdtrey5 nike seeing the treatment kyrie got from nike i thought you would of been first in line to boycott them.

guess not.",en
20,['1651999056091131917'],1651999056091131917,thekatskid1 tearsintherain1 memesus77 michaeldoge420 watawatadayone nachodelaheysus jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
21,['1651999047471837188'],1651999047471837188,"kdtrey5 nike 🙏🏽🙏🙏🏿🙏🏻🙏🏾💎🐐❤️🌟🏆♾️ 
that's what's up! well deserved 
young michael air jordan 
.kdtrey5 💎🐐🌟🥇🥇🥇🏆🏆and more to come ♾️ 
playoffmode 
nba ",en
23,['1651999003209531392'],1651999003209531392,kdtrey5 nike bring back the kd4s! all-time great!,en
24,['1651998993000349696'],1651998993000349696,kdtrey5 nike awesome and congrats,en
25,['1651998963183104017'],1651998963183104017,the nike gods finally decided to bestow these upon me… ,en
28,['1651998933017669654'],1651998933017669654,sportsguygio kdtrey5 nike man durant just doesn’t understand the impact these had ,en
29,['1651998787077021697'],1651998787077021697,"ekillamain nike jumpman23 nicekicks kicksonfire solesavy jordan1squad houseofheat sneakerfiles snkrfrkrmag footlockereu it’s the pair that came out in 2016, not sure if there was a release before that though.",en
30,['1651998786720346126'],1651998786720346126,nicekicks boardroom kdtrey5 nikebasketball nike kd got a lifetime deal but not kobe 🤔,en
31,['1651998760703078402'],1651998760703078402,"authorsls jordanbpeterson maybelline disney nike budweiser yes please boycott this is the only way these companies will get the message is by hurting their wallets… $ matters to them not you, or your families, heaven help us .",en
32,['1651998744181874690'],1651998744181874690,"dean72080789 kicksfinder canary__yelloww nike nikestore at least you won, i haven’t won a nike snkrs draw since i started entering 2 years ago, including the green forces",en
34,['1651998741191176193'],1651998741191176193,cnation87 mrunloved1s nike jumpman23 nicekicks kicksonfire solesavy jordan1squad houseofheat sneakerfiles snkrfrkrmag footlockereu ,en
36,['1651998670693314576'],1651998670693314576,memesus77 tearsintherain1 michaeldoge420 watawatadayone nachodelaheysus jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
37,['1651998635108839429'],1651998635108839429,jackinho21 vitality_sa aquelleviv nike well done champ jacob 👏👏👏,en
38,['1651998586165493760'],1651998586165493760,tearsintherain1 michaeldoge420 watawatadayone thekatskid1 nachodelaheysus jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex 🥰,en
39,['1651998536781770776'],1651998536781770776,espn boardroom let’s go the best basketball player in my opinion and i’m a big fan kdtrey5 what a legend so talented professional basketball player nike suns ,en
40,['1651998511251197954'],1651998511251197954,kdtrey5 nike congrats kd for being the 2nd player that got the lifetime contract. another 2nd for you,en
41,['1651998492116799489'],1651998492116799489,"kdtrey5 nike wow! kd 👏🏻👏🏻👏🏻 congrats 🎉 who else but you, really 💀🏀😤",en
42,['1651998490346790912'],1651998490346790912,rt jamaalaldin_tv:  rapper reacts to taeyang - ‘shoong! (feat. lisa of 227's youtube chili' blackpink! hoops227tv…,en
43,['1651998487138148353'],1651998487138148353,rt jamaalaldin_tv:  rapper reacts to taeyang - ‘shoong! (feat. lisa of 227's youtube chili' blackpink! hoops227tv…,en
46,['1651998476438319126'],1651998476438319126,memesus77 tearsintherain1 michaeldoge420 watawatadayone thekatskid1 jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
47,['1651998455437443072'],1651998455437443072,".nike my daughter's uk high school has just discriminated against your air force 1 le shoe, banning them from sept 2023. boys are allowed to wear branded kickers. what's your take on this?",en
48,['1651998367550169088'],1651998367550169088, rapper reacts to taeyang - ‘shoong! (feat. lisa of 227's youtube chili' blackpink! hoops227tv  kpop!🎶   nike'spicy'tunes spicy' nba…  ,en
49,['1651998359958478849'],1651998359958478849, 227's youtube chili' blackpink! hoops227tv  kpop!🎶   nike'spicy'tunes spicy' nba mix! jisoo - flower (areia remix)  ,en
50,['1651998307692998656'],1651998307692998656,tearsintherain1 michaeldoge420 watawatadayone thekatskid1 nachodelaheysus jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex $doge ,en
51,['1651998298985705482'],1651998298985705482,footworkoffical nike nikestore 🔥🔥🔥🔥🔥,en
52,['1651998297303789580'],1651998297303789580,"samsung cell phone deal! samsung galaxy a71 a716u 5g 128gb. gsm unlocked. prism cube black (renewed)
now: $146.67
was: $173.00
click for deal link!


thenorthface nike adidas hypebeast ",en
53,['1651998274461794309'],1651998274461794309,checks over stripes every time congrats kdtrey5  on your lifetime deal with nike,en
54,['1651998247987163145'],1651998247987163145,"nicekicks boardroom kdtrey5 nikebasketball nike durant earned $85.9m combined last year, over half of which was through endorsements like this 💪 ",en
55,['1651998196930088960'],1651998196930088960,psilentassassin nicekicks boardroom kdtrey5 nikebasketball nike ? 13 and 14 are best in his line,en
56,['1651998138771681281'],1651998138771681281,kdtrey5 nike now they just need to make a memorable shoe together,en
57,['1651998115895947286'],1651998115895947286,"asus rog zephyrus m15 15.6"" 4k ultra hd (3840 x 2160) gaming
now: $1549.99
was: $2399.00
click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ",en
58,['1651997964951334942'],1651997964951334942,kdtrey5 nike just waiting for charles barkley to say how bad a decision it was for nike. smh,en
60,['1651997909053845512'],1651997909053845512,"rt tom78557: 😗

gaybordeaux horny nike underwear boxer ",en
62,['1651997845333979160'],1651997845333979160,"what a beautiful gift my mother nike gave me
cook : goatifyio 
bot : usnkrs 
usnkrs_success 
thanks nike ",en
64,['1651997763024957443'],1651997763024957443,officiallyctg tearsintherain1 memesus77 watawatadayone thekatskid1 nachodelaheysus jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
65,['1651997698801938432'],1651997698801938432,makeupnkickz nike nice shoes and good morning!  have a great weekend!,en
68,['1651997573962424320'],1651997573962424320,kdtrey5 nike well deserved. even though mines hurts my pinky toe.,en
69,['1651997537388183552'],1651997537388183552,dilimeth rtfkt nike rtfktcreators dope! fly high with these wings my friend,en
70,['1651997514864664577'],1651997514864664577,"nike dunk low retro panda white black 12.5 dd1391-100 air 1 force max id sb pro | ebay
us $179.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
71,['1651997443108777984'],1651997443108777984,kdtrey5 nike wow 💯💯💯 ,en
78,['1651997304218431509'],1651997304218431509,happy friday fam! ✌🏽 tome to bust out these babies again! jordan11 spring summer  kotd jordan nike snkrsliveheatingup snkrs jordan11legendblue ,en
79,['1651997273562415104'],1651997273562415104, 227's youtube chili' itzy! kpop!🎶    nike'spicy'tunes spicy' nba mix! “cheshire” / shaoyi  ,en
