,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
49,['1651934396558245888'],1651934396558245888,"cocacola_ind may drive transactions, but its impact on the planet and society is far-reaching and devastating. 
wakeup cocacola
pmoindia cocacola
cbitweets ",,,en
0,['1651934303788601347'],1651934303788601347,"yesterday's sportscallau podcast presented by cocacola!

ryanlavoie0 and brant_daughtry discuss the transfer portal, and preview the first round of the nfl draft. enjoy!

",,,en
1,['1651933924149567489'],1651933924149567489,"hey cocacola , you can't turn a blind eye to the shady practices happening at your bottling plants. wakeup cocacola
  ",,,en
3,['1651933053499973635'],1651933053499973635,a fountain cocacola is man’s best creation.,,,en
5,['1651932411175882752'],1651932411175882752,"every week i thank the people that *involuntarily* provided involuntary material for the splendid edition of synthetic work. this week: pwc, cocacola, sharongoldman, dani_lsc, brendocasey, pactumai, luwangnyc, and justinaknope.",,,en
6,['1651931719753146368'],1651931719753146368,"cocacola_za cocacolaafrica cocacola_gb cocacolaco 
please bring back these amazing coke yo-yos:
cocacola southafrica yoyo cokeyoyo ",,,en
7,['1651930593356050432'],1651930593356050432,we're about to kick off one of the nation's most ambitious recycling hacks featuring 10 startup finalists pitching cityofcincy kroger proctergamble fifththird pepsi cocacola rumpkenews madtreebrewing.  mayor aftabpureval kicks us off at 9 am est. come on down! ,,,en
10,['1651928409449332736'],1651928409449332736,. cocacola economic success is constructed on a basis of exploitation and brush aside for the environment. it's time for this organization to face the penalties of its actions. wakeup cocacola,,,en
11,['1651928361122537475'],1651928361122537475,". cocacola monetary success must no longer come at the fee of moral and sustainable practices. it's time for this organization to take duty for its actions. wakeup cocacola
pmoindia
upgovt",,,en
12,['1651928177537863681'],1651928177537863681,"neraya coco cola oda bottling factory la ulla than neraya cctv surveillance la thefinthu fake concentrate irukthu
wakeup cocacola
cocacola
pmoindia
cbitweets
",,,en
13,['1651928113725730820'],1651928113725730820,"we cannot turn a blind eye to the wrongdoings happening at cocacola's bottling plants.wakeup cocacola
",,,en
