,edit_history_tweet_ids,id,text,lang
23,['1652063084070961154'],1652063084070961154,"nike giannis_an34 nikebasketball nah man no way we’re celebrating this bs. anyway you slice it a 1 seed losing to an 8 is a failure. failure does not mean you don’t learn or gain anything. failing is how you succeed and grow in life, but it’s a failure nonetheless.",en
24,['1652063070175502337'],1652063070175502337,polyesterunis mariners nike over 55 men’s slo pitch softball uniforms.,en
25,['1652063065955811328'],1652063065955811328,kixnkarbs nike i feel your pain my brotha,en
28,['1652062898879975424'],1652062898879975424,"nike air jordan 4 retro military black white

",en
29,['1652062838645571589'],1652062838645571589,polyesterunis mariners nike pants suck,en
30,['1652062688149635081'],1652062688149635081,makeupnkickz nike wow these are litty!!! sheesh!.,en
32,['1652062659582349313'],1652062659582349313,crypto_wolf_of lukso_of coderoshi lukso_io nike ,en
34,['1652062595061280768'],1652062595061280768,"rt crypto_wolf_of: you are right coderoshi that time is now. ☝️😏👌  luksomainnet 🆙️
nike just do it 🚀 ",en
36,['1652062508180553734'],1652062508180553734,x_mangan michele_kw nike nikestore jumpman23 never see anyone with them ,en
38,['1652062475955601409'],1652062475955601409,nike giannis_an34 nikebasketball failure is not something to run from but to be embraced. it shows where improvement must take place in order to succeed. also maybe don't be a dick.,en
39,['1652062469584572416'],1652062469584572416,"polyesterunis mariners nike mariners city connects are definitely in the top 3-4 along with brewers, cubs and white sox. majority of the other teams are pretty ugly",en
42,['1652062430296707073'],1652062430296707073,nike giannis_an34 nikebasketball going home to an 8th seed in 5 who even lost a play in game while having the best record in nba and the best odds to win it all is a failure.,en
43,['1652062424088952832'],1652062424088952832,"stereolab fillmore sf 2001 concert poster print f-484 rock bill graham presents | ebay
us $39.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
44,['1652062405592252416'],1652062405592252416,red_tothebone nike check now i jus got on,en
46,['1652062326089224194'],1652062326089224194,fuck you nike fuck your stupid snkrs pass and fuck your snkrs draw and that stupid snkrs cam and that snkrs scratcher too!! ,en
47,['1652062317192925188'],1652062317192925188,"memobarela mcknight_rich nikestore nike willstowehos tiona_deniece sneakeradmirals snkr_twitr tblightning imma probably with at watch party in a nearby bolts nation gathering (access to good food, craft brews and cocktails etc… them playoff tickets ain’t no joke 😂 ",en
0,['1652062237325152257'],1652062237325152257,hisexcellence79 nike nikestore appreciate you jeff 🤝🏾 💯,en
5,['1652061931463639046'],1652061931463639046,"now back to the list in your head of countless things, that’s so overwhelming.. 

fuck the list, stop repeating it in your head. focus on your surroundings! 

do the next simple and easy thing to do. 

i like the standard of, “if it takes less than a minute to do, nike ”",en
6,['1652061926975844355'],1652061926975844355,"find the first thing you see that you’ve been putting off.

do it, whatever it is.

just do it. nike 

no, but seriously.

- put those shoes away 

- do a push up, or 10 if you can

- pick up your clothes

anything!! no matter how big or how little

you get the point hopefully?",en
8,['1652061729134874624'],1652061729134874624,"sftwofive yoon_ambush nike gabrielsthc sneakeradmirals snkr_twitr kixnkarbs beiberlove69 gabriel47x lexxdaturtle good afternoon!  always good to have a gym fit.  like these shoes!

today's: ",en
9,['1652061696784207872'],1652061696784207872,kdtrey5 nike sign your life with a child slave labor company. pathetic,en
10,['1652061631952633858'],1652061631952633858,"via idausa 
nike &amp; puma both recently phased out kangaroo leather.👍🏻
it's time for adidas to stop killing kangaroos for shoes
adidas, cessez d'utiliser du cuir de kangourou pour vos chaussures🙏🏻
too! ",en
13,['1652061593776328705'],1652061593776328705,"polyesterunis mariners nike the high socks mess up the look, otherwise they’re fantastic",en
14,['1652061523286581248'],1652061523286581248,michael05773389 trevorh17 nike that sucks about the paint.,en
18,['1652061363215253504'],1652061363215253504,"hot wheels premium 2022 deutchland design german car container set rlc sth th | ebay
us $49.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
19,['1652061354310918144'],1652061354310918144,put it on a shirt please nike 📈 ,en
21,['1652061319950921731'],1652061319950921731,kdtrey5 nike kd goated for real bro,en
23,['1652061275537707008'],1652061275537707008,"elguapo2050 polyesterunis mariners nike nah, the high socks ruin it",en
25,['1652061264955207682'],1652061264955207682,"polyesterunis mariners nike the black pants are awful!!!  the tops are excellent, but the pants spoil this look.",en
26,['1652061260018507776'],1652061260018507776,"msi ge66 raider 15.6"" qhd 240hz gaming display. intel core i7-11800h. nvidia geforce rtx3070. 16gb.
now: $1799.00
was: $2299.00
click for deal link!


thenorthface nike adidas hypebeast ",en
27,['1652061253991555073'],1652061253991555073,nike giannis_an34 nikebasketball michael jordan “i’ve failed over and over again in my career. that is why i succeed.” legendary commercial,en
28,['1652061229882408965'],1652061229882408965,polyesterunis mariners nike i love beer league softball!,en
29,['1652061216032866304'],1652061216032866304,"rt crypto_wolf_of: you are right coderoshi that time is now. ☝️😏👌  luksomainnet 🆙️
nike just do it 🚀 ",en
32,['1652061116153974788'],1652061116153974788,"you are right coderoshi that time is now. ☝️😏👌  luksomainnet 🆙️
nike just do it 🚀 ",en
33,['1652061088823820289'],1652061088823820289,"nike giannis_an34 nikebasketball check me out live and join the discord 🤝🏿: 

🟣 : 

🟢:   ",en
34,['1652061031659888646'],1652061031659888646,kb8thekid nike i feel you. shit is a real struggle for us kobe fans and fans of his shoes (they are not the same. 😂),en
35,['1652060991381811201'],1652060991381811201,"❤️please ''rt''👍
🏀sports toy club🏀 ""on opensea  opensea nftcommunity usa nftart nftartist nftdrop ethereum nftartist artwork japan samurai china sword basketball nike japanese nft nfts nftshill nftcollector procreate web3 bitcoin ",en
36,['1652060975842074624'],1652060975842074624,"nike giannis_an34 nikebasketball marketing was quite slow, why just now? better leadership needed to move things forward faster and smarter.",en
37,['1652060946737577993'],1652060946737577993,polyesterunis mariners nike these look great to me (pilots' font!  1977 trident!) -- one of three teams (along with the angels and marlins) whose city connect uniforms i prefer to their regular uniforms.,en
39,['1652060889195900930'],1652060889195900930,this is unacceptable nike - ya need to do better!! contact cynnphx please. ,en
40,['1652060847068332034'],1652060847068332034,"rt mchartbigbang: this legendary star receives surprise gift from g-dragon

uhm jung hwa: ""thanks, jiyong gd nike peaceminusone.""

🔗htt…",en
41,['1652060767095750657'],1652060767095750657,"jayh54 i know, and that’s the majority of pairs that nike let’s people win. not the real fans",en
43,['1652060716655050752'],1652060716655050752,"rt whitetamar1: the new ✔️x 🌼 kwondo 1 shoes by gdragon nike peaceminusone
 is in the list of 'best panda themed sneakers' by hypebeast…",en
45,['1652060589580255232'],1652060589580255232,good job seizing the moment nike ➕™️ ,en
46,['1652060589064089600'],1652060589064089600,"rt oossports: a lifetime agreement has been reached between kevin durant and nike, making him one of three basketball players, alongside m…",en
48,['1652060508395061251'],1652060508395061251,nike like moving forward to round 2?,en
0,['1652060455710478338'],1652060455710478338,"36chambered nike i *think* people’s rationale is “well gigi is making money off it and it’s what she wants and she deserves it, so we’ll let nike rock”",en
1,['1652060425717190656'],1652060425717190656,rt justwingityo: nike giannis_an34 nikebasketball so the goal isn’t to win anymore? please. ,en
2,['1652060372143153153'],1652060372143153153,caplejai nike nikestore word congrats!,en
3,['1652060299673862150'],1652060299673862150,"anti social social club good smile racing mercedes benz gtr diecast car 1/64 | ebay
us $59.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
7,['1652060225350823940'],1652060225350823940,"rt oossports: a lifetime agreement has been reached between kevin durant and nike, making him one of three basketball players, alongside m…",en
8,['1652060219613036545'],1652060219613036545,tracy_parkes nike yeah thanks dude. these are the same price as retail pairs so besides the 3 week wait -- i think everyone should just customize their own shoes.,en
9,['1652060198272667649'],1652060198272667649,nike giannis_an34 nikebasketball so the goal isn’t to win anymore? please. ,en
10,['1652060151891865600'],1652060151891865600,"ozraeliavi he's got a cock, arrest me also, i'm so happy nike and budweiserusa are losing profits left right n centre",en
12,['1652060125602131969'],1652060125602131969,nike giannis_an34 nikebasketball where are the lebron 10’s,en
13,['1652060124154933249'],1652060124154933249,kdtrey5 nike baba don cash out,en
14,['1652060095822307331'],1652060095822307331,"rt oossports: a lifetime agreement has been reached between kevin durant and nike, making him one of three basketball players, alongside m…",en
15,['1652060088511725573'],1652060088511725573,rt stealth783: kotd orlando teamtmcii yoursneakersaredope airups wdywt pennyhardaway nike goat kixnkarbs atmoscollectorsclub  …,en
