,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
0,['1651976175592325121'],1651976175592325121,"those who know me know i loved pepsi for decades (in moderation), until they changed their formula from natural sugars to synthetic sugars (that gives an aftertaste &amp; gives headaches).

pepsico cocacola pepsiruined pepsichangedihavechangedtococacol pepsirevolt ",,,en
3,['1651973321834070016'],1651973321834070016, auctions coke clevendbrowns hallmark planes funkopops cocacola  ebayseller ebayfinds ebay fantasticbeasts  ebaycommunity resellercommunity andygriffith  harrypotter americana deals sale happyhollisters stamps philately superman ,,,en
4,['1651972752423673858'],1651972752423673858,"rt your_sweet_neko: ops!!!

onlyfans nekochan catgirl porn hentai cocacola animegirl anime egirl aestheti…",,,en
5,['1651972538451230727'],1651972538451230727,"drromantic3 jiminxtiffanyandco ponniyanselvan2. starwarsjedisurvivor istandwithmychampions
donjazzy heisrema afpfactcheck cocacola pepsi pepsi_naija jazzysburger  out yungjeezus iniobong venomspittah's video! tiktok ",,,en
6,['1651972287862808577'],1651972287862808577,"with mnwsupplychain, companies can integrate existing supply chain systems, allowing for interoperability and seamless data exchange.

don't believe $mnw? ask coca-cola

100x cryptonews cocacola ",,,en
7,['1651971808650833921'],1651971808650833921,"spursofficial give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
8,['1651970200634359814'],1651970200634359814,rt alyssanastyx: cocacola should rly sponsor me atp 😉😅🥤💦 ,,,en
9,['1651970059877892096'],1651970059877892096,mujhe kisine cocacola song dedicate hi nahi kiya ab tak🥺,,,en
13,['1651966043865186304'],1651966043865186304,"enjoy the real gold standard with goldpeak tea! no matter what flavor you are in the mood for, our team has you covered, making sure your local retailer stays stocked up! goldpeak cocacola ",,,en
14,['1651965701056262150'],1651965701056262150,"sudanwar 2/3 global supply gum arabic, beverage/cosmetic ingredient. $1 billion export market cocacola stockpile, 6 mos inventory exhaust . rural acacia tree tap interrupt, substitute lack. chad set 100,000 refugee +400,000 2 decade. emergingmarkets",,,en
21,['1651962265506320386'],1651962265506320386,"mazza mango cold drink quality is very bad , shop keepar  charge extra price in mrp rs mazza 600 ml bottol  mrp is 40 , but shopkeepar charge 50/- 
improve quality other wise sales is down
mazza maza colddrink cocacola indian",,,en
22,['1651961869496721409'],1651961869496721409,cocacolaracing dennyhamlin joegibbsracing nascar cocacola cltmotorspdwy 😍😍😍😍.,,,en
23,['1651961824693088259'],1651961824693088259,mirandacosgrove and sean with a cocacola shirt 👚 in phuket thailand filming mother of the bride 👰🏻‍♀️ for netflix ,,,en
25,['1651959822420672512'],1651959822420672512,sandeepkishore_ cocacola pmoindia upgovt wt's the matter can u explain!?,,,en
26,['1651958736364400642'],1651958736364400642,ashisharajput19 cocacola cbitweets upgovt well.. who said the original is healthy 😊,,,en
27,['1651956805017190401'],1651956805017190401,cocacolaracing dennyhamlin joegibbsracing nascar cocacola cltmotorspdwy can’t wait to get there ,,,en
28,['1651955938994143234'],1651955938994143234,thechelseaforum cocacola better than allianz?,,,en
29,['1651954796700610560'],1651954796700610560,"rt your_sweet_neko: ops!!!

onlyfans nekochan catgirl porn hentai cocacola animegirl anime egirl aestheti…",,,en
